,Unnamed: 0,year,suicide_no,population,percentage,average
0,0,1985,29446,220723000,0.013340703053148063,0.16872923832923833
1,1,1986,30892,222953000,0.01385583508631864,0.2307019396551724
2,2,1987,30783,225148000,0.013672339971929575,0.1811016091954023
3,3,1988,30388,227353000,0.0133659991291076,0.17147772511848342
4,4,1989,30218,229487000,0.013167630410437193,0.190598623853211
5,5,1990,30895,229952200,0.013435400922452578,0.10218203883495146
6,6,1991,30790,232955000,0.01321714494215621,0.146527634194831
7,7,1992,30471,235565600,0.012935250308194406,0.1380720472440945
8,8,1993,31084,238092300,0.013055441104143225,0.14253030927835053
9,9,1994,31123,240614100,0.012934819696767562,0.11871634408602151
10,10,1995,31272,243164200,0.012860445739956787,0.057147532467532465
11,11,1996,30879,245997800,0.012552551282978955,0.13056456310679612
12,12,1997,30517,248486400,0.012281155024983259,0.11387593052109181
13,13,1998,30558,251332500,0.01215839575064904,0.0945990291262136
14,14,1999,29183,253748671,0.011500749889641787,0.16672457627118645
15,15,2000,29343,262246108,0.011189107904701488,0.15474125326370758
16,16,2001,30607,265427546,0.011531207088807581,0.08667467811158798
17,17,2002,31645,268759559,0.011774464922380677,0.06510578158458244
18,18,2003,31477,271041510,0.01161335029457296,0.12217510638297872
19,19,2004,32428,273584136,0.01185302644887275,0.06863423799582463
20,20,2005,32629,276106680,0.01181753371559138,0.08066454545454545
21,21,2006,33292,278980848,0.01193343566007083,0.13711195445920304
22,22,2007,34596,280658606,0.012326719815604015,0.12141277056277057
23,23,2008,36030,282355565,0.012760506420335651,0.051442857142857144
24,24,2009,36900,285162662,0.012939983005208445,0.053094472361809045
25,25,2010,38362,287839149,0.01332758248253437,0.07284425837320574
26,26,2011,39508,290313825,0.013608721527471179,0.08090357815442561
27,27,2012,40596,292827128,0.013863469644110294,0.07125442176870748
28,28,2013,41143,295322862,0.013931532330876571,0.11274178571428571
29,29,2014,42769,297749735,0.014364076596071529,0.08025158286778399
30,30,2015,44189,300078511,0.01472581287235193,0.002174878444084278
